WorkspaceId,UserName,BundleId,IpAddress,ComputerName,State,RunningMode,Region,LastConnectionTime,DaysSinceLastLogin
ws-dw68w1p24,Mfinn,wsb-fnq7j7gpl,10.151.68.158,EC2AMAZ-L9GC6R9,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-gb3nct3dt,dthelort,wsb-fnq7j7gpl,10.151.65.140,EC2AMAZ-TFHFT6V,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-39ncr85zl,swroblewsk,wsb-1ytmbgt44,10.151.78.111,VDICHWY-1HMGOHL,STOPPED,AUTO_STOP,us-west-2,2022-09-28 12:13:28.607000-04:00,151
ws-1v0xvqmsp,ikis,wsb-fnq7j7gpl,10.151.76.170,EC2AMAZ-D9JPDP5,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-5d8qj757x,dhurtado,wsb-1ytmbgt44,10.151.72.97,VDICHWY-QU6DJNP,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-4ryfp6bl1,jguillaum1,wsb-1ytmbgt44,10.151.77.96,VDICHWY-4C8VL44,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-1l87rdw76,avoelker,wsb-1ytmbgt44,10.151.74.155,VDICHWY-THLECDV,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-v3hkc2p90,kmassi,wsb-1ytmbgt44,10.151.78.21,VDICHWY-OSILSGI,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-9qx1m4lzl,sthurman2,wsb-1ytmbgt44,10.151.71.6,VDICHWY-EFDNOMI,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-f5gnybklw,jwilson73,wsb-1ytmbgt44,10.151.73.98,VDICHWY-OSHPV0J,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-xwqqrx8m8,aguerrier,wsb-1ytmbgt44,10.151.79.118,VDICHWY-FF4OL82,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-8ck3vp35q,lmcclure1,wsb-1ytmbgt44,10.151.70.197,VDICHWY-424LJU5,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-6r7xxkp9s,ahuerta2,wsb-1ytmbgt44,10.151.78.68,VDICHWY-LPLQRGC,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-0w522ql6k,oramos,wsb-1ytmbgt44,10.151.76.217,VDICHWY-0TQFNH4,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-xwbrnk13x,mesquivel,wsb-1ytmbgt44,10.151.64.235,VDICHWY-TT07A0H,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-ccy43sfzd,tdavis68,wsb-1ytmbgt44,10.151.68.227,VDICHWY-54PMQAP,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-h64p5gvqg,ksexton,wsb-1ytmbgt44,10.151.77.75,VDICHWY-NV8HAMB,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-1qr6dvz1c,zhelmy,wsb-1ytmbgt44,10.151.67.206,VDICHWY-JL93QR8,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-kbrct46gy,jsachse,wsb-1ytmbgt44,10.151.65.160,VDICHWY-H0GOVAD,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-vwqsqxd8q,rroyal2,wsb-fnq7j7gpl,10.151.76.67,EC2AMAZ-91L5DT8,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-h2cdk0cb8,slloyd2,wsb-fnq7j7gpl,10.151.70.104,EC2AMAZ-I99IG11,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-bjdtv2h19,ltyger,wsb-1ytmbgt44,10.151.74.136,VDICHWY-USP5BB0,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-d5q02c519,nbreeding,wsb-1ytmbgt44,10.151.66.128,VDICHWY-JKV88UJ,STOPPED,AUTO_STOP,us-west-2,2023-02-24 08:41:11.410000-05:00,3
ws-5wkcqz3pt,cgalvan1,wsb-fnq7j7gpl,10.151.79.207,EC2AMAZ-7BH649C,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-4t98jctdt,mgac,wsb-1ytmbgt44,10.151.69.103,VDICHWY-VGODKFQ,STOPPED,AUTO_STOP,us-west-2,2023-01-23 20:24:04.240000-05:00,34
ws-61jp6zcgf,eendres,wsb-fnq7j7gpl,10.151.70.12,EC2AMAZ-U624S46,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-hcxfd8d89,acarpio3,wsb-fnq7j7gpl,10.151.75.134,EC2AMAZ-TOGJLJK,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-72sn5z3z4,cmuniz2,wsb-1ytmbgt44,10.151.67.60,VDICHWY-9ARI9J3,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-fsmjrrjv4,jalexand16,wsb-1ytmbgt44,10.151.66.60,VDICHWY-GLKUT7B,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-vfzmx0yrf,astuart,wsb-fnq7j7gpl,10.151.79.5,EC2AMAZ-LAF4KDO,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-h5dshy55l,amallahi,wsb-1ytmbgt44,10.151.69.85,VDICHWY-E9R0PU5,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-051zgchvn,tflores6,wsb-1ytmbgt44,10.151.68.141,VDICHWY-5IQFQ95,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-9cmf0lhl3,jvalderas,wsb-1ytmbgt44,10.151.65.23,VDICHWY-KDJPQIB,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-715ylkpb8,vantoine,wsb-1ytmbgt44,10.151.70.100,VDICHWY-BRPJPN8,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-kcv6mrs0s,ssilver2,wsb-1ytmbgt44,10.151.74.2,VDICHWY-C6OK3FO,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-7sjtnmmvy,bschreiber,wsb-fnq7j7gpl,10.151.65.232,EC2AMAZ-UO3HAU8,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-81x749k16,barneault,wsb-1ytmbgt44,10.151.64.82,VDICHWY-SLAUCOC,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-vnl4w1j30,kgalban,wsb-1ytmbgt44,10.151.75.198,VDICHWY-MQFMOA9,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-78hmbnxjd,aaiken,wsb-1ytmbgt44,10.151.78.198,VDICHWY-OTILVFC,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-hswc2k75k,mvasquez7,wsb-1ytmbgt44,10.151.68.128,VDICHWY-3K5IP03,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-b6874xwcn,nravuri,wsb-fnq7j7gpl,10.151.65.4,EC2AMAZ-Q38O7GT,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-3vrhr7jcm,fvalle,wsb-1ytmbgt44,10.151.73.202,VDICHWY-6A6UUFJ,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-whvx3ndhg,tjeanpierr,wsb-fnq7j7gpl,10.151.71.88,EC2AMAZ-9H4CLC8,AVAILABLE,ALWAYS_ON,us-west-2,No login registered, 
ws-bwmtjf50x,elopez2,wsb-fnq7j7gpl,10.151.75.126,EC2AMAZ-PBSHJUH,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-4v1m1bd04,ateyra,wsb-1ytmbgt44,10.151.69.149,VDICHWY-UO86325,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-dfymspgyv,jblanchar1,wsb-1ytmbgt44,10.151.67.235,VDICHWY-6HBVH1B,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-1mx7bfcn1,kperdue2,wsb-1ytmbgt44,10.151.72.204,VDICHWY-UMN899R,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-054r9s46h,sfluchaire,wsb-fnq7j7gpl,10.151.72.110,EC2AMAZ-VSNRQO3,STOPPED,AUTO_STOP,us-west-2,2022-03-30 11:52:59.908000-04:00,333
ws-8v7ccgcvf,kcameron1,wsb-1ytmbgt44,10.151.71.69,VDICHWY-842MJV7,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-w5n1fwpx6,pmartine11,wsb-1ytmbgt44,10.151.78.213,VDICHWY-AJ59IO6,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-ffttb545z,crobinso20,wsb-1ytmbgt44,10.151.78.78,VDICHWY-OEMVFDI,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-8yxkwp9p3,rseiser,wsb-1ytmbgt44,10.151.73.92,VDICHWY-LLCGRBR,STOPPED,AUTO_STOP,us-west-2,No login registered, 
ws-4fzzh99w4,jramos29,wsb-1ytmbgt44,10.151.75.177,VDICHWY-GACKMS6,STOPPED,AUTO_STOP,us-west-2,No login registered, 
